Unnamed: 0;season;league;team;id_player;id_name;first_name;last_name;age;height;weight;appearence;lineup;minutes;position;rating;shots_total;shots_on;goles;goles_conceded;goles_assists;goles_saves;passes_total;passes_key;passes_accuracy;tackles_total;tackles_blocks;tackles_interceptions;duels_total;duels_wom;dribbles_total;dribbles_success;fouls_drawn;fouls_committed;card_yellow;card_red;penalty_won;penalty_commited;penalty_scored;penalty_missed;penalty_saved;name;Periodo;shot_on_app;goles_assistes_app;goles_app;goles_saves_app;passes_key_app;tackles_blocks_app;tackles_interceptions_app;fouls_committed_app;card_yellow_app;card_red_app;penalty_won_app;penalty_commited_app;penalty_scored_app;penalty_missed_app;penalty_saved_app;duels_wom_app;dribbles_success_app;lineup_app;goles_conceded_app;age_n;height_r;passes_accuracy_r;rank;total_line_up;total_line_up_per
0;2020;265;2315;11425;Carlos Emilio Carmona Tello;Carlos Emilio;Carmona Tello;35.0;173.0;68.0;22.0;19.0;1383.0;Midfielder;6.665;2.0;1.0;0.0;0.0;0.0;0.0;380.0;8.0;24.0;23.0;3.0;24.0;68.0;35.0;5.0;3.0;8.0;17.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.030303030303030304;0.0;0.0;0.0;0.11730205278592376;0.11570247933884296;0.3636363636363636;0.2533532041728763;0.3636363636363636;0.0;0.0;0.0;0.0;0.0;0.0;0.1946682009973149;0.04363636363636363;0.8636363636363636;0.0;0.29166666666666674;0.8963730569948187;0.34285714285714286;5.577790591188143;33;0.6666666666666666
19;2020;265;2315;11363;C. Fuentes;César Nicolás;Fuentes González;29.0;170.0;74.0;29.0;25.0;2283.0;Midfielder;6.811538;10.0;3.0;3.0;0.0;1.0;0.0;693.0;6.0;32.0;42.0;5.0;34.0;128.0;71.0;10.0;7.0;16.0;18.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.06896551724137931;0.06896551724137931;0.1259370314842579;0.0;0.06674082313681869;0.14629049111807735;0.3908045977011494;0.20350480497456191;0.27586206896551724;0.0;0.0;0.0;0.0;0.0;0.0;0.29957805907172996;0.07724137931034483;0.8620689655172413;0.0;0.5416666666666667;0.8808290155440416;0.4571428571428572;8.808173500333915;33;0.8787878787878788
20;2020;265;2315;11426;G. Costa;Basilio Gabriel;Costa Heredia;32.0;171.0;70.0;23.0;21.0;1728.0;Midfielder;7.022727;32.0;13.0;5.0;0.0;3.0;0.0;466.0;18.0;20.0;41.0;3.0;10.0;292.0;134.0;74.0;46.0;37.0;36.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.3768115942028985;0.2608695652173913;0.26465028355387527;0.0;0.25245441795231416;0.11067193675889328;0.14492753623188404;0.5131860299358518;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.7128967161988626;0.64;0.9130434782608695;0.0;0.41666666666666674;0.8860103626943006;0.28571428571428575;37.34790424548266;33;0.696969696969697
30;2020;265;2315;11614;B. Vejar;Bryan Alfonso;Vejar Utreras;27.0;169.0;70.0;23.0;13.0;1285.0;Midfielder;6.842857;8.0;5.0;0.0;0.0;1.0;0.0;433.0;12.0;26.0;29.0;0.0;22.0;83.0;50.0;16.0;11.0;6.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.14492753623188404;0.08695652173913043;0.0;0.0;0.16830294530154277;0.0;0.3188405797101449;0.12829650748396296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2660062373876353;0.1530434782608696;0.5652173913043478;0.0;0.625;0.8756476683937825;0.37142857142857144;15.576773055659194;33;0.696969696969697
33;2020;265;2315;10071;L. Valencia;Leonardo Felipe;Valencia Rossel;31.0;169.0;62.0;26.0;22.0;1759.0;Midfielder;6.85909;25.0;10.0;6.0;0.0;1.0;0.0;455.0;33.0;29.0;20.0;2.0;6.0;132.0;54.0;31.0;15.0;37.0;27.0;8.0;0.0;0.0;0.0;1.0;2.0;0.0;Colo Colo;2020;0.2564102564102564;0.07692307692307693;0.28093645484949836;0.0;0.4094292803970223;0.06526806526806528;0.07692307692307693;0.3404791929382094;0.41025641025641024;0.0;0.0;0.0;0.11538461538461539;0.7692307692307693;0.0;0.25413826679649465;0.1846153846153846;0.8461538461538461;0.0;0.4583333333333335;0.8756476683937825;0.41428571428571426;32.706853232240746;33;0.7878787878787878
34;2020;265;2315;13582;M. Fernández;Matías Ariel;Fernández Fernández;36.0;178.0;72.0;19.0;8.0;770.0;Midfielder;6.738888;9.0;3.0;0.0;0.0;2.0;0.0;257.0;16.0;23.0;18.0;0.0;1.0;92.0;51.0;13.0;7.0;30.0;11.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.10526315789473684;0.21052631578947367;0.0;0.0;0.2716468590831918;0.0;0.017543859649122806;0.18981880931837794;0.2807017543859649;0.0;0.0;0.0;0.0;0.0;0.0;0.3284477015323118;0.11789473684210526;0.42105263157894735;0.0;0.25;0.9222797927461142;0.32857142857142857;25.400810815153065;33;0.5757575757575758
36;2020;265;2315;11424;W. Alarcón;William Héctor;Alarcón Cepeda;22.0;0.0;0.0;18.0;3.0;621.0;Midfielder;6.488235;4.0;2.0;0.0;0.0;0.0;0.0;168.0;5.0;11.0;4.0;1.0;5.0;55.0;25.0;17.0;11.0;7.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.07407407407407407;0.0;0.0;0.0;0.08960573476702509;0.04713804713804714;0.09259259259259259;0.12750455373406194;0.14814814814814814;0.0;0.0;0.0;0.0;0.0;0.0;0.16994842944210034;0.19555555555555557;0.16666666666666666;0.0;0.8333333333333334;0.0;0.15714285714285714;5.508447429215329;33;0.5454545454545454
49;2020;265;2316;11572;Carlos Felipe Ignacio Espinosa Contreras;Carlos Felipe Ignacio;Espinosa Contreras;40.0;172.0;0.0;21.0;8.0;820.0;Midfielder;6.677777;2.0;1.0;0.0;0.0;1.0;0.0;455.0;11.0;38.0;14.0;0.0;6.0;50.0;23.0;24.0;13.0;15.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;Curico Unido;2020;0.031746031746031744;0.09523809523809523;0.0;0.0;0.16897081413210446;0.0;0.09523809523809523;0.1249024199843872;0.06349206349206349;0.0;0.0;0.0;0.0;0.0;0.0;0.13401647578862771;0.1980952380952381;0.38095238095238093;0.0;0.08333333333333348;0.8911917098445596;0.5428571428571429;12.725089357385935;33;0.6363636363636364
50;2020;265;2316;6276;Fernando Gabriel Godoy;Fernando Gabriel;Godoy;32.0;172.0;70.0;33.0;33.0;2933.0;Midfielder;6.72;7.0;0.0;0.0;0.0;0.0;0.0;1212.0;14.0;41.0;64.0;0.0;55.0;203.0;80.0;20.0;12.0;13.0;64.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;Curico Unido;2020;0.0;0.0;0.0;0.0;0.13685239491691104;0.0;0.5555555555555556;0.6358668653750622;0.2828282828282828;0.0;0.0;0.0;0.0;0.0;0.0;0.2966372586625751;0.11636363636363636;1.0;0.0;0.41666666666666674;0.8911917098445596;0.5857142857142857;5.6439817912531;33;1.0
52;2020;265;2316;11833;P. Parra;Pablo Alejandro;Parra Rubilar;28.0;175.0;60.0;24.0;24.0;2065.0;Midfielder;7.004545;38.0;22.0;7.0;0.0;5.0;0.0;704.0;38.0;42.0;21.0;1.0;16.0;175.0;77.0;90.0;46.0;37.0;29.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;Curico Unido;2020;0.611111111111111;0.4166666666666667;0.35507246376811596;0.0;0.510752688172043;0.03535353535353535;0.2222222222222222;0.39617486338797814;0.3333333333333333;0.0;0.0;0.0;0.5;0.0;0.0;0.3925808720112518;0.6133333333333334;1.0;0.0;0.5833333333333335;0.9067357512953369;0.6;65.0504810681862;33;0.7272727272727273
