;Equipos;Puntos;fixture;season
0;A. Italiano;3;1;2020
1;Everton de Vina;3;1;2020
2;Union La Calera;3;1;2020
3;Union Espanola;3;1;2020
4;U. Catolica;3;1;2020
5;Antofagasta;3;1;2020
6;Huachipato;3;1;2020
7;Curico Unido;3;1;2020
8;Colo Colo;3;1;2020
9;Deportes Iquique;0;1;2020
10;D. La Serena;0;1;2020
11;O'Higgins;0;1;2020
12;Palestino;0;1;2020
13;Santiago Wanderers;0;1;2020
14;Coquimbo Unido;0;1;2020
15;Cobresal;0;1;2020
16;Universidad de Chile;0;1;2020
17;Universidad de Concepcion;0;1;2020
18;Antofagasta;6;2;2020
19;Union La Calera;6;2;2020
20;U. Catolica;6;2;2020
21;A. Italiano;4;2;2020
22;Everton de Vina;4;2;2020
23;Universidad de Chile;3;2;2020
24;Union Espanola;3;2;2020
25;Santiago Wanderers;3;2;2020
26;Palestino;3;2;2020
27;Huachipato;3;2;2020
28;Curico Unido;3;2;2020
29;Colo Colo;3;2;2020
30;Cobresal;3;2;2020
31;Deportes Iquique;1;2;2020
32;Coquimbo Unido;1;2;2020
33;O'Higgins;0;2;2020
34;D. La Serena;0;2;2020
35;Universidad de Concepcion;0;2;2020
36;U. Catolica;9;3;2020
37;A. Italiano;7;3;2020
38;Everton de Vina;7;3;2020
39;Cobresal;6;3;2020
40;Universidad de Chile;6;3;2020
41;Union La Calera;6;3;2020
42;Curico Unido;6;3;2020
43;Antofagasta;6;3;2020
44;Palestino;4;3;2020
45;Union Espanola;4;3;2020
46;Huachipato;4;3;2020
47;O'Higgins;3;3;2020
48;Santiago Wanderers;3;3;2020
49;Colo Colo;3;3;2020
50;Deportes Iquique;1;3;2020
51;Coquimbo Unido;1;3;2020
52;Universidad de Concepcion;1;3;2020
53;D. La Serena;0;3;2020
54;U. Catolica;12;4;2020
55;A. Italiano;10;4;2020
56;Universidad de Chile;9;4;2020
57;Union La Calera;9;4;2020
58;Curico Unido;9;4;2020
59;Antofagasta;9;4;2020
60;Everton de Vina;8;4;2020
61;Huachipato;7;4;2020
62;Cobresal;7;4;2020
63;Palestino;5;4;2020
64;O'Higgins;4;4;2020
65;Union Espanola;4;4;2020
66;Santiago Wanderers;3;4;2020
