Unnamed: 0;season;league;team;id_player;id_name;first_name;last_name;age;height;weight;appearence;lineup;minutes;position;rating;shots_total;shots_on;goles;goles_conceded;goles_assists;goles_saves;passes_total;passes_key;passes_accuracy;tackles_total;tackles_blocks;tackles_interceptions;duels_total;duels_wom;dribbles_total;dribbles_success;fouls_drawn;fouls_committed;card_yellow;card_red;penalty_won;penalty_commited;penalty_scored;penalty_missed;penalty_saved;name;Periodo;shot_on_app;goles_assistes_app;goles_app;goles_saves_app;passes_key_app;tackles_blocks_app;tackles_interceptions_app;fouls_committed_app;card_yellow_app;card_red_app;penalty_won_app;penalty_commited_app;penalty_scored_app;penalty_missed_app;penalty_saved_app;duels_wom_app;dribbles_success_app;lineup_app;goles_conceded_app;age_n;height_r;passes_accuracy_r;rank;total_line_up;total_line_up_per
0;2020;265;2315;11425;Carlos Emilio Carmona Tello;Carlos Emilio;Carmona Tello;35.0;173.0;68.0;22.0;19.0;1383.0;Midfielder;6.665;2.0;1.0;0.0;0.0;0.0;0.0;380.0;8.0;24.0;23.0;3.0;24.0;68.0;35.0;5.0;3.0;8.0;17.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.02727272727272727;0.0;0.0;0.0;0.11730205278592376;0.03409090909090909;0.13636363636363635;0.12878787878787878;0.1818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.09497964721845319;0.0409090909090909;0.8636363636363636;0.0;0.16666666666666674;0.8826530612244898;0.24;7.322892375541426;33;0.6666666666666666
2;2020;265;2315;11430;J. Valdivia;Jorge Luís;Valdivia Toro;39.0;173.0;71.0;3.0;1.0;89.0;Midfielder;6.533333;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;7.0;1.0;0.0;0.0;12.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.07960199004975124;0.09999999999999999;0.3333333333333333;0.0;0.07142857142857151;0.8826530612244898;0.07;0.0;33;0.09090909090909091
6;2020;265;2315;70462;Ethan Mauricio Espinoza Martínez;Ethan Mauricio;Espinoza Martínez;21.0;177.0;78.0;2.0;0.0;8.0;Midfielder;6.45;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05970149253731343;0.0;0.0;0.0;0.5;0.903061224489796;0.01;0.0;33;0.06060606060606061
19;2020;265;2315;11363;C. Fuentes;César Nicolás;Fuentes González;29.0;170.0;74.0;29.0;25.0;2283.0;Midfielder;6.811538;10.0;3.0;3.0;0.0;1.0;0.0;693.0;6.0;32.0;42.0;5.0;34.0;128.0;71.0;10.0;7.0;16.0;18.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.06206896551724138;0.034482758620689655;0.1259370314842579;0.0;0.06674082313681869;0.04310344827586207;0.14655172413793102;0.10344827586206896;0.13793103448275862;0.0;0.0;0.0;0.0;0.0;0.0;0.14616572310859494;0.07241379310344828;0.8620689655172413;0.0;0.30952380952380953;0.8673469387755102;0.32;8.9657164889442;33;0.8787878787878788
20;2020;265;2315;11426;G. Costa;Basilio Gabriel;Costa Heredia;32.0;171.0;70.0;23.0;21.0;1728.0;Midfielder;7.022727;32.0;13.0;5.0;0.0;3.0;0.0;466.0;18.0;20.0;41.0;3.0;10.0;292.0;134.0;74.0;46.0;37.0;36.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.3391304347826087;0.13043478260869565;0.26465028355387527;0.0;0.25245441795231416;0.03260869565217391;0.05434782608695652;0.2608695652173913;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0.34782608695652173;0.6;0.9130434782608695;0.0;0.23809523809523814;0.8724489795918368;0.2;35.02399868721476;33;0.696969696969697
21;2020;265;2315;11431;C. Villanueva;Carlos Alberto;Villanueva Fuentes;23.0;0.0;0.0;1.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45238095238095244;0.0;0.0;0.0;33;0.030303030303030304
22;2020;265;2315;70463;V. Pizarro;Vicente Tomás;Pizarro Durcudoy;20.0;172.0;67.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5238095238095238;0.8775510204081632;0.0;0.0;33;0.0
23;2020;265;2315;195808;J. Cruz;Joan Manuel;Cruz Castro;19.0;168.0;69.0;3.0;0.0;36.0;Midfielder;6.55;0.0;0.0;0.0;0.0;0.0;0.0;16.0;1.0;5.0;2.0;0.0;1.0;15.0;8.0;1.0;1.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.0;0.0;0.0;0.0;0.1075268817204301;0.0;0.041666666666666664;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15920398009950248;0.09999999999999999;0.0;0.0;0.5476190476190477;0.8571428571428571;0.05;5.890874369676443;33;0.09090909090909091
26;2020;265;2315;11428;B. Provoste;Branco Antonio;Provoste Ovalle;22.0;177.0;68.0;12.0;9.0;673.0;Midfielder;6.52;8.0;2.0;0.0;0.0;0.0;0.0;146.0;2.0;31.0;13.0;0.0;7.0;34.0;14.0;7.0;4.0;10.0;19.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;Colo Colo;2020;0.09999999999999999;0.0;0.0;0.0;0.05376344086021505;0.0;0.07291666666666667;0.26388888888888884;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.06965174129353234;0.09999999999999999;0.75;0.0;0.4761904761904763;0.903061224489796;0.31;6.232545083117678;33;0.36363636363636365
29;2020;265;2315;11892;I. Jara;Ignacio Andrés;Jara Vargas;25.0;0.0;0.0;8.0;3.0;289.0;Midfielder;6.8625;6.0;6.0;1.0;0.0;3.0;0.0;78.0;6.0;7.0;4.0;0.0;2.0;51.0;17.0;4.0;1.0;10.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;Colo Colo;2020;0.44999999999999996;0.375;0.15217391304347827;0.0;0.24193548387096775;0.0;0.03125;0.20833333333333331;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.12686567164179105;0.0375;0.375;0.0;0.40476190476190477;0.0;0.07;50.25825080986718;33;0.24242424242424243
